set,item,exact_matches,normalized_matches,max_jaccard,nearest_plate,nearest_item
calibration,231,0,0,0.006,optmath_bench,116
calibration,232,0,0,0.006,optmath_bench,116
calibration,233,0,0,0.0069,optmath_bench,59
calibration,234,0,0,0.0052,optmath_bench,34
calibration,235,0,0,0.0076,optmath_bench,59
calibration,236,0,0,0.0015,mamo_complex_test,182
calibration,237,0,0,0.002,mamo_complex_test,100
calibration,238,0,0,0.0016,mamo_complex_test,182
calibration,239,0,0,0.0015,mamo_complex_test,182
calibration,240,0,0,0.0016,mamo_complex_test,182
calibration,241,0,0,0.0025,optmath_bench,94
calibration,242,0,0,0.0032,mamo_complex_test,142
calibration,243,0,0,0.0042,mamo_complex_test,86
calibration,244,0,0,0.0036,mamo_complex_test,142
calibration,245,0,0,0.0046,optmath_bench,5
